GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute1Notes,Attribute2,Attribute2Notes,Attribute3,Attribute3Notes,Attribute4,Attribute4Notes,Attribute5,Attribute5Notes,Attribute6,Attribute6Notes,Attribute7,Attribute7Notes
Trace Metals,Cu_extractable,Soil concentration of extractable Copper,mg Cu/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Cations,Fe_extractable,Soil concentration of extractable Iron,mg Fe/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Cations,K_extractable,Soil concentration of extractable Potassium,mg K/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Trace Metals,Li_extractable,Soil concentration of extractable Lithium,mg Li/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Cations,Mg_extractable,Soil concentration of extractable Magnesium,mg Mg/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Cations,Mn_extractable,Soil concentration of extractable Manganese,mg Mn/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Trace Metals,Mo_extractable,Soil concentration of extractable Molybdenum,mg Mo/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Cations,Na_extractable,Soil concentration of extractable Sodium,mg Na/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Trace Metals,Ni_extractable,Soil concentration of extractable Nickel,mg Ni/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Pb_extractable,Soil concentration of extractable Lead,mg Pb/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Rb_extractable,Soil concentration of extractable Rubidium,mg Rb/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Se_extractable,Soil concentration of extractable Selenium,mg Se/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Si_extractable,Soil concentration of extractable Silicon,mg Si/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Sr_extractable,Soil concentration of extractable Strontium,mg Sr/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Te_extractable,Soil concentration of extractable Tellurium,mg Te/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,V_extractable,Soil concentration of extractable Vanadium,mg V/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Zn_extractable,Soil concentration of extractable Zinc,mg Zn/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,Ti_extractable,Soil concentration of extractable Titanium,mg Ti/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Trace Metals,As_extractable,Soil concentration of extractable Arsenic,mg As/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Extract type|[""Water"",""Sodium acetate"",""DTPA"",""H3A"",""Aqua regia"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Cations,CEC,Cation Exchange capacity,cmol/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Measurement method|[""direct"",""sum of cations"",""saturated paste method"",""Other (specify)""]",,Input|Specify extractant info for proxy methods or exchange cation for direct method,,,,"Input|Method reference, if known",
pH,Buffering_Capacity,Ability of the soil to resist change in pH (reserve or exchangable acidity),meq H+ (kg soil)-1 (pH)-1 OR mg CaCO3 (kg soil)-1 (pH)-1,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Report method|[""Incubation"",""titration"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
pH,pH,Negative logarithm of the hydrogen ion concentration,no reported units,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Method|[""electrode"",""litmus"",""Other (specify)""]",,Input|Extraction ratio,,"Input|Specify extract type (eg. water, calcium chloride, ammonium acetate buffer, other).",,"Input|Method reference, if known",
pH,pH_buffer,pH after addition of buffer solution,no reported units,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Whole soil"",""Size fraction""]",,"Select|Buffer type|[""Shoemaker-McLean-Pratt (SMP) Single Buffer"",""Adams-Evan Mehlich Single Buffer"",""Sikora""]",,,,,,"Input|Method reference, if known",
Redox,O2_dissolved,Dissolved oxygen in aqueous soil solution,mg O2/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Sample type|[""Porewater"",""Tile drainage"",""Leachate""]",,"Select|Method|[""O2 sensor"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Soil Gas Phase,O2_gaseous,Oxygen concentration in soil gas phase,mg O2/L,,,,,,,,,,,,,"Input|Method reference, if known",
Redox,Eh,Soil redox potential,mV,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Platinum electrode"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Salinity,Electrical_Conductivity,Soil electrical conductivity,decisiemens/m,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Choose one|[""Soil extract"",""Natural water sample""]",,"Select|IF extract specify extraction ratio|[""saturated paste"",""1:2"",""1:5"",""1:10"",""Other (specify)""]",,"Select|IF extract THEN specify extract type|[""Water"",""calcium chloride"",""ammonium acetate buffer"",""Other (specify)""]",,,,"Input|Method reference, if known",
Spectra,Spectra_solid,Spectroscopic data from solid soil sample,,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Type of spectra|[""vis-NIR"",""mid-IR"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Spectra,Spectra_aqueous,Spectroscopic data from aqueous sample,,,,"Select|Choose one|[""Soil extract"",""Natural pore water sample""]",,"Select|Type of spectra|[""Fluorescence EEM"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Temperature,Soil_Temp,Soil temperature at a given soil depth,°C,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Hydraulic properties,Field_Capacity_WC,Water content in soil 2-3 d after wetting when free drainage is negligible (soil water potential is at -33 kPa),% vol (cm3 H2O/cm3 soil*100),,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Measurement type|[""Field"",""Laboratory""]",,"Select|Methods|[""Field:neutron probe"",""Field:tensiometer"",""Field:capacitance"",""Field:time domain reflectometry"",""Lab:gravimetric"",""Lab:pressure plate"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Hydraulic properties,Hydraulic_Conductivity,Soils ability to transmit water when subjected to a hydraulic gradient,cm/sec,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Hydraulic conductivity|[""Saturated"",""Unsaturated""]",,"Select|Measurement type|[""field, above water table"",""field, below water table"",""lab""]",,"Select|Method|[""Field, above water table = tension infiltrometer, ring infiltrometer, constant head well permeameter"",""Field, below water table = single auger hole, piezometer, two/four well"",""Laboratory = constant head, falling head"",""Other (specify)""]",,,,"Input|Method reference, if known",
Hydraulic properties,Infitration_Rate,Rate of water infiltration,cm/hr,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Methods|[""Rainfall simulation"",""ponded"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Hydraulic properties,Soil_Moisture_grav,Gravimetric soil moisture content,% (g water/g dry soil*100),,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Hydraulic properties,Soil_Moisture_vol,Volumetric soil moisture content,% vol (cm3 H2O/cm3 soil*100),,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Hydraulic properties,Soil_Water_Characteristic_Curve,"Relationship between soil water content and matric potential; also called water retention curve or isotherm, or water release curve; was it measured?",N/A,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,"Select|Suction method|[""direct"",""indirect""]",,"Select|Method|[""Indirect:filter paper"",""Indirect:vapor equilibrium"",""Indirect:dewpoint potentiameter"",""Direct:pressure plate"",""Direct:tensiometer"",""Direct:osmotic membrane/solution"",""Direct:centrifuge"",""Other (specify)""]",,,,"Input|Method reference, if known",
Hydraulic properties,Wilting_Potential_WC,Water content at Wilting Point (water is unavailable to plants; water potential at -1500 kPa),% vol (cm3 H2O/cm3 soil*100),,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Measurement type|[""Field"",""Laboratory""]",,,,Input|Soil depth (e.g. 0-30 cm) or horizon (e.g. O) measured,,,,"Input|Method reference, if known",
Texture,Clay,Percent of soil particles in clay fraction < 0.002 mm,% of <2 mm sieved soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Input|Specify all sample pretreatments (Na-hexametaphosphate dispersal solution, H2O2 to remove organic matter, others)",,"Select|Method|[""pipette"",""hydrometer"",""laser diffraction"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Texture,Sand,Percent of soil particles in sand fraction > 0.05 mm,% of <2 mm sieved soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Input|Specify all sample pretreatments (Na-hexametaphosphate dispersal solution, H2O2 to remove organic matter, others)",,"Select|Method|[""pipette"",""hydrometer"",""laser diffraction"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Texture,Silt,Percent of soil particles in silt fraction < 0.05 and > 0.002 mm,% of <2 mm sieved soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Input|Specify all sample pretreatments (Na-hexametaphosphate dispersal solution, H2O2 to remove organic matter, others)",,"Select|Method|[""pipette"",""hydrometer"",""laser diffraction"",""Other (specify)""]",,,,,,"Input|Method reference, if known",
Texture,Particle_Size_Distribution,Measurement of full range of particle sizes using laser diffraction,,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Input|Specify all sample pretreatments (Na-hexametaphosphate dispersal solution, H2O2 to remove organic matter, others)",,,,,,,,"Input|Method reference, if known",
Texture,Coarse fragment,Gravel fraction > 2 mm,% of whole soil,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Texture,Consistency,Assessment of soil consistence,,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Measurement type|[""Stickiness"",""Plasticity"",""Atterberg limits""]",,,,,,,,"Input|Method reference, if known",
Mineralogy,Clay_Mineralogy,"Identification of clay-sized minerals, was it measured",-,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""X-ray diffraction"",""differential thermal analyses"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Mineralogy,Specific_surface_area,Surface area of soil particles,m2/g,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Methods|[""Adsorption of ethylene glycol monoethyl ether"",""Soil moisture release curve"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Aggregation,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Rotary sieve"",""Sieve shaker"",""Other (specify)""]",,"Select|Size classes|["">2000 um"",""1000-2000 um"",""500-1000 um"",""250-500 um"",""53-250 um"", ""Other (specify)""]",,,,,,"Input|Method reference, if known",
Aggregation,Water_Stable_Aggregation,Abundance of water-stable soil aggregates by size class (wet sieve),g/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Yoder apparatus"",""Cornell rainfall simulator"",""Slake App test"",""Other (specify)""]",,"Select|Size classes|["">2000 um"",""1000-2000 um"",""500-1000 um"",""250-500 um"",""53-250 um"", ""Other (specify)""]",,,,,,"Input|Method reference, if known",
Porosity,Porosity,Assessment of soil pores,-,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Property assessed|[""total porosity"",""pore size distribution"",""pore length"",""pore connectivity"",""Other (specify)""]",,,,,,,,"Input|Method reference, if known",
Bulk Density,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Method|[""Core"",""Clod"",""Compliant cavity"",""Other (specify)""]",,"Select|Corrected for gravel content?|[""Yes"",""No""]",,,,,,"Input|Method reference, if known",
Penetration resistance,Penetration_Resistance,Resistance to penetration of instrument into soil,kPa,,,"Select|Method|[""Cone penetrometer"",""Other (specify)""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Acid_Phosphatase,Acid phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Alkaline_Phosphatase,Alkaline phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Arylsulfatase,Arylsulfatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Beta_Glucosaminidase_NAG,Beta Glucosaminidase nag enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Beta_Glucosidase,Beta glucosidase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Alpha_Glucosidase,Alpha glucosidase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Combined_Enzyme_Assay,Combined assay of multiple enzymes activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Enzyme activity,Fluorescein_Diacetate_Hydrolysis,Fluorescein Diacetate hydrolysis enzyme activity,mg fluorescein kg-1 h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
